"year","INEGI","ENTIDAD","POB","TOTAL","TASA_TOTAL"
2005,22,"QUERETARO",1624845,68,4.2
2005,23,"QUINTANA ROO",1119547,119,10.6
2005,24,"SAN LUIS POTOSI",2478522,176,7.1
2005,25,"SINALOA",2671826,609,22.8
2005,26,"SONORA",2449098,275,11.2
2005,27,"TABASCO",2043541,84,4.1
2005,28,"TAMAULIPAS",3084638,357,11.6
2005,29,"TLAXCALA",1092677,350,32
2005,30,"VERACRUZ",7320978,459,6.3
2005,31,"YUCATAN",1857713,22,1.2
2005,32,"ZACATECAS",1410658,58,4.1
2006,1,"AGUASCALIENTES",1110011,26,2.3
2006,2,"BAJA CALIFORNIA",2939646,483,16.4
2006,3,"BAJA CALIFORNIA SUR",537801,20,3.7
2006,4,"CAMPECHE",786594,28,3.6
2006,7,"CHIAPAS",4472341,358,8
2006,8,"CHIHUAHUA",3341601,593,17.7
2006,9,"CIUDAD DE MEXICO",8941792,649,7.3
2006,5,"COAHUILA",2602657,109,4.2
2006,6,"COLIMA",591856,31,5.2
2006,10,"DURANGO",1570259,205,13.1
2006,11,"GUANAJUATO",5111010,242,4.7
2006,12,"GUERRERO",3242776,837,25.8
2006,13,"HIDALGO",2454515,101,4.1
2006,14,"JALISCO",7014132,425,6.1
2006,15,"MEXICO",14472559,2766,19.1
2006,16,"MICHOACAN",4131914,661,16
2006,17,"MORELOS",1671876,159,9.5
2006,18,"NAYARIT",994128,94,9.5
2006,19,"NUEVO LEON",4371643,180,4.1
2006,20,"OAXACA",3649712,1077,29.5
2006,21,"PUEBLA",5594768,415,7.4
2006,22,"QUERETARO",1666037,52,3.1
2006,23,"QUINTANA ROO",1163300,119,10.2
2006,24,"SAN LUIS POTOSI",2506073,131,5.2
2006,25,"SINALOA",2694988,602,22.3
2006,26,"SONORA",2493190,238,9.5
2006,27,"TABASCO",2077489,166,8
2006,28,"TAMAULIPAS",3134911,346,11
2006,29,"TLAXCALA",1112330,187,16.8
2006,30,"VERACRUZ",7393341,434,5.9
2006,31,"YUCATAN",1885599,22,1.2
2006,32,"ZACATECAS",1424542,50,3.5
2007,1,"AGUASCALIENTES",1131266,49,4.3
2007,2,"BAJA CALIFORNIA",3000933,511,17
2007,3,"BAJA CALIFORNIA SUR",563113,28,5
2007,4,"CAMPECHE",797547,36,4.5
2007,7,"CHIAPAS",4567654,358,7.8
2007,8,"CHIHUAHUA",3369106,617,18.3
2007,9,"CIUDAD DE MEXICO",8941750,714,8
2007,5,"COAHUILA",2647284,121,4.6
2007,6,"COLIMA",607687,30,4.9
2007,10,"DURANGO",1590553,250,15.7
2007,11,"GUANAJUATO",5218816,229,4.4
2007,12,"GUERRERO",3288751,800,24.3
2007,13,"HIDALGO",2513382,147,5.8
2007,14,"JALISCO",7122681,389,5.5
2007,15,"MEXICO",14690701,1127,7.7
2007,16,"MICHOACAN",4197046,527,12.6
2007,17,"MORELOS",1702514,113,6.6
2007,18,"NAYARIT",1019289,108,10.6
2007,19,"NUEVO LEON",4453598,283,6.4
2007,20,"OAXACA",3697430,948,25.6
2007,21,"PUEBLA",5658467,401,7.1
2007,22,"QUERETARO",1709408,57,3.3
2007,23,"QUINTANA ROO",1206051,176,14.6
2007,24,"SAN LUIS POTOSI",2532954,153,6
2007,25,"SINALOA",2719764,741,27.2
2007,26,"SONORA",2541130,308,12.1
2007,27,"TABASCO",2121626,193,9.1
2007,28,"TAMAULIPAS",3177190,265,8.3
2007,29,"TLAXCALA",1129802,0,0
2007,30,"VERACRUZ",7475403,478,6.4
2007,31,"YUCATAN",1907202,30,1.6
2007,32,"ZACATECAS",1444747,66,4.6
2008,1,"AGUASCALIENTES",1153468,63,5.5
2008,2,"BAJA CALIFORNIA",3064928,853,27.8
2008,3,"BAJA CALIFORNIA SUR",589287,28,4.8
2008,4,"CAMPECHE",809041,45,5.6
2008,7,"CHIAPAS",4666821,326,7
2008,8,"CHIHUAHUA",3397985,2030,59.7
2008,9,"CIUDAD DE MEXICO",8942665,713,8
2008,5,"COAHUILA",2693767,179,6.6
2008,6,"COLIMA",624105,33,5.3
2008,10,"DURANGO",1611815,430,26.7
2008,11,"GUANAJUATO",5331102,257,4.8
2008,12,"GUERRERO",3336888,951,28.5
2008,13,"HIDALGO",2574507,139,5.4
2008,14,"JALISCO",7235896,462,6.4
2008,15,"MEXICO",14918914,1261,8.5
2008,16,"MICHOACAN",4265042,565,13.2
2008,17,"MORELOS",1734467,135,7.8
2008,18,"NAYARIT",1045326,147,14.1
2008,19,"NUEVO LEON",4538945,263,5.8
2008,20,"OAXACA",3747429,733,19.6
2008,21,"PUEBLA",5725491,429,7.5
2008,22,"QUERETARO",1754614,58,3.3
2008,23,"QUINTANA ROO",1250391,192,15.4
2008,24,"SAN LUIS POTOSI",2561307,218,8.5
2008,25,"SINALOA",2745887,1156,42.1
2008,26,"SONORA",2590980,393,15.2
2008,27,"TABASCO",2167689,148,6.8
2008,28,"TAMAULIPAS",3221329,308,9.6
2008,29,"TLAXCALA",1148108,42,3.7
2008,30,"VERACRUZ",7561551,477,6.3
2008,31,"YUCATAN",1929920,47,2.4
2008,32,"ZACATECAS",1465789,74,5
2009,1,"AGUASCALIENTES",1176168,66,5.6
2009,2,"BAJA CALIFORNIA",3130426,750,24
2009,3,"BAJA CALIFORNIA SUR",616122,31,5
2009,4,"CAMPECHE",820800,41,5
2009,7,"CHIAPAS",4768075,499,10.5
2009,8,"CHIHUAHUA",3426919,3156,92.1
2009,9,"CIUDAD DE MEXICO",8941128,747,8.4
2009,5,"COAHUILA",2741112,240,8.8
2009,6,"COLIMA",640893,52,8.1
2009,10,"DURANGO",1633391,930,56.9
2009,11,"GUANAJUATO",5445893,414,7.6
2009,12,"GUERRERO",3385886,1431,42.3
2009,13,"HIDALGO",2636953,137,5.2
2009,14,"JALISCO",7351056,570,7.8
2009,15,"MEXICO",15151573,1345,8.9
2009,16,"MICHOACAN",4334310,728,16.8
2009,17,"MORELOS",1767084,317,17.9
2009,18,"NAYARIT",1071834,148,13.8
2009,19,"NUEVO LEON",4625949,267,5.8
2009,20,"OAXACA",3798232,752,19.8
2009,21,"PUEBLA",5793599,414,7.1
2009,22,"QUERETARO",1801014,90,5
2009,23,"QUINTANA ROO",1295873,177,13.7
2009,24,"SAN LUIS POTOSI",2590151,158,6.1
2009,25,"SINALOA",2772294,1251,45.1
2009,26,"SONORA",2641800,498,18.9
2009,27,"TABASCO",2214835,117,5.3
2009,28,"TAMAULIPAS",3266069,288,8.8
2009,29,"TLAXCALA",1166802,48,4.1
2009,30,"VERACRUZ",7649004,347,4.5
2009,31,"YUCATAN",1953014,33,1.7
2009,32,"ZACATECAS",1487129,76,5.1
2010,1,"AGUASCALIENTES",1198510,74,6.2
2010,2,"BAJA CALIFORNIA",3183653,884,27.8
2010,3,"BAJA CALIFORNIA SUR",636185,48,7.5
2010,4,"CAMPECHE",833942,59,7.1
2010,7,"CHIAPAS",4857906,513,10.6
2010,8,"CHIHUAHUA",3461882,3903,112.7
2010,9,"CIUDAD DE MEXICO",8981871,811,9
2010,5,"COAHUILA",2786124,407,14.6
2010,6,"COLIMA",655211,93,14.2
2010,10,"DURANGO",1656602,1024,61.8
2010,11,"GUANAJUATO",5542931,437,7.9
2010,12,"GUERRERO",3429881,1500,43.7
2010,13,"HIDALGO",2688905,134,5
2010,14,"JALISCO",7461855,888,11.9
2010,15,"MEXICO",15377962,1153,7.5
2010,16,"MICHOACAN",4397949,661,15
2010,17,"MORELOS",1797092,559,31.1
2010,18,"NAYARIT",1094434,367,33.5
2010,19,"NUEVO LEON",4712645,828,17.6
2010,20,"OAXACA",3846563,666,17.3
2010,21,"PUEBLA",5869069,415,7.1
2010,22,"QUERETARO",1842364,59,3.2
2010,23,"QUINTANA ROO",1332929,234,17.6
2010,24,"SAN LUIS POTOSI",2621113,417,15.9
2010,25,"SINALOA",2806695,1714,61.1
2010,26,"SONORA",2687480,654,24.3
2010,27,"TABASCO",2255253,143,6.3
2010,28,"TAMAULIPAS",3310309,721,21.8
2010,29,"TLAXCALA",1185869,48,4
2010,30,"VERACRUZ",7747684,583,7.5
2010,31,"YUCATAN",1979695,36,1.8
2010,32,"ZACATECAS",1508108,110,7.3
2011,1,"AGUASCALIENTES",1223425,74,6
2011,2,"BAJA CALIFORNIA",3222606,673,20.9
2011,3,"BAJA CALIFORNIA SUR",651419,38,5.8
2011,4,"CAMPECHE",849941,59,6.9
2011,7,"CHIAPAS",4944937,613,12.4
2011,8,"CHIHUAHUA",3499552,3085,88.2
2011,9,"CIUDAD DE MEXICO",9034475,779,8.6
2011,5,"COAHUILA",2830310,660,23.3
2011,6,"COLIMA",668122,165,24.7
2011,10,"DURANGO",1682438,764,45.4
2011,11,"GUANAJUATO",5623703,604,10.7
2011,12,"GUERRERO",3465479,2158,62.3
2011,13,"HIDALGO",2731728,111,4.1
2011,14,"JALISCO",7568896,1222,16.1
2011,15,"MEXICO",15600748,1512,9.7
2011,16,"MICHOACAN",4453862,773,17.4
2011,17,"MORELOS",1824842,556,30.5
2011,18,"NAYARIT",1114502,456,40.9
2011,19,"NUEVO LEON",4807568,2003,41.7
2011,20,"OAXACA",3888461,641,16.5
2011,21,"PUEBLA",5953938,619,10.4
2011,22,"QUERETARO",1884058,98,5.2
2011,23,"QUINTANA ROO",1366947,269,19.7
2011,24,"SAN LUIS POTOSI",2652434,402,15.2
2011,25,"SINALOA",2850246,1460,51.2
2011,26,"SONORA",2728730,472,17.3
2011,27,"TABASCO",2290095,162,7.1
2011,28,"TAMAULIPAS",3352122,855,25.5
2011,29,"TLAXCALA",1207060,71,5.9
2011,30,"VERACRUZ",7855504,890,11.3
2011,31,"YUCATAN",2010757,46,2.3
2011,32,"ZACATECAS",1528547,119,7.8
2012,1,"AGUASCALIENTES",1250962,44,3.5
2012,2,"BAJA CALIFORNIA",3258386,590,18.1
2012,3,"BAJA CALIFORNIA SUR",668635,35,5.2
2012,4,"CAMPECHE",867064,69,8
2012,7,"CHIAPAS",5038786,573,11.4
2012,8,"CHIHUAHUA",3531604,1997,56.5
2012,9,"CIUDAD DE MEXICO",9049100,779,8.6
2012,5,"COAHUILA",2874749,771,26.8
2012,6,"COLIMA",681887,287,42.1
2012,10,"DURANGO",1708439,618,36.2
2012,11,"GUANAJUATO",5703988,771,13.5
2012,12,"GUERRERO",3495920,2310,66.1
2012,13,"HIDALGO",2775101,83,3
2012,14,"JALISCO",7672910,1184,15.4
2012,15,"MEXICO",15820397,2130,13.5
2012,16,"MICHOACAN",4505400,755,16.8
2012,17,"MORELOS",1852263,862,46.5
2012,18,"NAYARIT",1135531,244,21.5
2012,19,"NUEVO LEON",4909324,1459,29.7
2012,20,"OAXACA",3924322,472,12
2012,21,"PUEBLA",6037918,578,9.6
2012,22,"QUERETARO",1930886,110,5.7
2012,23,"QUINTANA ROO",1406411,250,17.8
2012,24,"SAN LUIS POTOSI",2680708,396,14.8
2012,25,"SINALOA",2893415,1191,41.2
2012,26,"SONORA",2769535,501,18.1
2012,27,"TABASCO",2325367,124,5.3
2012,28,"TAMAULIPAS",3390260,1016,30
2012,29,"TLAXCALA",1229572,59,4.8
2012,30,"VERACRUZ",7957243,968,12.2
2012,31,"YUCATAN",2041581,38,1.9
2012,32,"ZACATECAS",1548006,195,12.6
2013,1,"AGUASCALIENTES",1278202,40,3.1
2013,2,"BAJA CALIFORNIA",3292766,775,23.5
2013,3,"BAJA CALIFORNIA SUR",685784,56,8.2
2013,4,"CAMPECHE",883911,67,7.6
2013,7,"CHIAPAS",5130494,503,9.8
2013,8,"CHIHUAHUA",3561704,1443,40.5
2013,9,"CIUDAD DE MEXICO",9057829,749,8.3
2013,5,"COAHUILA",2917922,645,22.1
2013,6,"COLIMA",695408,178,25.6
2013,10,"DURANGO",1733606,476,27.5
2013,11,"GUANAJUATO",5781861,641,11.1
2013,12,"GUERRERO",3524537,2087,59.2
2013,13,"HIDALGO",2817500,123,4.4
2013,14,"JALISCO",7773261,1099,14.1
2013,15,"MEXICO",16035478,1932,12
2013,16,"MICHOACAN",4554352,902,19.8
2013,17,"MORELOS",1879005,597,31.8
2013,18,"NAYARIT",1156029,151,13.1
2013,19,"NUEVO LEON",5009564,719,14.4
2013,20,"OAXACA",3958047,536,13.5
2013,21,"PUEBLA",6119292,409,6.7
2013,22,"QUERETARO",1977398,111,5.6
2013,23,"QUINTANA ROO",1445879,214,14.8
2013,24,"SAN LUIS POTOSI",2707747,261,9.6
2013,25,"SINALOA",2935385,981,33.4
2013,26,"SONORA",2809131,575,20.5
2013,27,"TABASCO",2359785,140,5.9
2013,28,"TAMAULIPAS",3426690,556,16.2
2013,29,"TLAXCALA",1251774,70,5.6
